0,0.01486124,19801212
-0.0520607,0.00160544,19801215
-0.0732265,0.00748688,19801216
0.02469136,0.0161662,19801217
0.02891566,0.00413388,19801218
0.06088993,0.00711981,19801219
0.04856512,0.0137702,19801222
0.04210527,-0.002909,19801223
0.05252525,0.0040557,19801224
0.09213052,0.00488677,19801226
0.01405975,-0.0103623,19801229
-0.0242634,0.00201696,19801230
-0.0284192,0.00398146,19801231
0.01279708,0.00610423,19810102
-0.0234657,0.00981617,19810105
-0.0443623,0.00037038,19810106
-0.0425532,-0.0258027,19810107
-0.020202,-0.013229,19810108
0.05360825,0.00427496,19810109
-0.0058708,0.00095614,19810112
-0.0374016,-0.0022154,19810113
0.00408998,0.00306218,19810114
0.02240326,0.00589647,19810115
-0.0099602,0.00515126,19810116
0.06036217,-0.0022893,19810119
-0.0303605,-0.0183787,19810120
0.02152642,-0.0030105,19810121
0.01149425,-0.0076361,19810122
-0.0037879,5.32E-05,19810123
-0.0171103,-0.0044563,19810126
-0.0058027,0.01044456,19810127
-0.0330739,-0.0042316,19810128
-0.0362173,-0.0003391,19810129
-0.0521921,-0.004683,19810130
-0.0594714,-0.0218563,19810202
0.03747072,0.01097249,19810203
0.03611738,0.00282038,19810204
0.00217865,0.00981076,19810205
0.00217391,0.00859195,19810206
-0.0498915,-0.0091864,19810209
-0.0022831,-0.0009119,19810210
-0.0320366,-0.0069427,19810211
-0.0094563,-0.0059123,19810212
-0.0214797,-0.0023464,19810213
0.02195122,0.00468379,19810217
0.04534606,0.00462993,19810218
-0.0616438,-0.0139371,19810219
-0.053528,-0.0009867,19810220
0.01542416,0.00607652,19810223
-0.0329114,0.00216638,19810224
0.06020942,0.00720578,19810225
0.01481481,0.01185621,19810226
0.03649635,0.00971389,19810227
0.00234742,0.00626307,19810302
-0.0140515,-0.0087788,19810303
-0.0095012,0.00200294,19810304
-0.0047962,-0.0048827,19810305
-0.0072289,-0.0003542,19810306
-0.0800971,0.00806661,19810309
-0.0474934,-0.0044765,19810310
-0.0360111,-0.0028,19810311
0.03735632,0.02259993,19810312
-0.0110803,0.00079282,19810313
0.04201681,0.01081815,19810316
0.0483871,-0.0041983,19810317
0.06153846,0.00255323,19810318
-0.0120773,-0.0042286,19810319
0.01222494,0.00694138,19810320
0.03864734,0.01087793,19810323
-0.0069767,-0.0052445,19810324
-0.0163934,0.01590216,19810325
-0.0214286,-0.0039348,19810326
-0.0340633,-0.0097345,19810327
0.00251889,-0.0022324,19810330
-0.0100503,0.01056256,19810331
-0.0126904,0.00577158,19810401
0.0874036,0.00021547,19810402
0.00472813,-0.0043127,19810403
-0.0188235,-0.0107494,19810406
-0.0095923,3.18E-06,19810407
0.05084746,0.00358349,19810408
0.01612903,0.00401069,19810409
0.01360544,0.00048657,19810410
0,-0.0102376,19810413
0,-0.0048795,19810414
-0.049217,0.01046304,19810415
-0.0564706,0.00472159,19810416
0.02992519,0.00544458,19810420
0.06779661,-0.0088487,19810421
0.03628118,-0.0004618,19810422
0.02625821,-0.0001577,19810423
-0.0063966,0.00812276,19810424
-0.0107296,0.00253234,19810427
-0.0173536,-0.0091131,19810428
-0.013245,-0.0087908,19810429
0.02013423,0.00070211,19810430
0,-0.0010228,19810501
-0.0065789,-0.014796,19810504
-0.004415,-0.0031696,19810505
-0.0266075,0.00447419,19810506
0.01366743,0.00781476,19810507
0.00898876,0.00147152,19810508
-0.0222717,-0.0134983,19810511
0.00455581,0.0070451,19810512
-0.0045351,0.0004542,19810513
-0.0159453,0.00644103,19810514
0.02546296,0.00694328,19810515
0.01580136,0.00214718,19810518
-0.02,-0.0028281,19810519
0.03401361,0.00168119,19810520
0.05482456,-0.0004506,19810521
0.04781705,0.0001153,19810522
-0.0059524,0.00982118,19810526
0.05588822,0.00707405,19810527
0,-0.0014323,19810528
0.00378072,-0.0046085,19810529
0,-0.0019993,19810601
-0.0489642,-0.013992,19810602
0.0019802,0.00049794,19810603
0.01778656,0.00213629,19810604
-0.015534,0.00914064,19810605
